#ID, d, x, y, z, u, v, w, au, av, aw
0,4.00E-05,2.00E-05,2.00E-05,5.07E-05,5.02E-09,-1.83E-07,-6.87E-08,-1.79E-02,-2.33E-02,-5.05E-03
1,4.00E-05,8.33E-05,2.00E-05,3.36E-05,4.22E-08,-2.57E-08,2.32E-07,1.04E-02,-2.56E-02,-3.06E-04
2,4.00E-05,2.00E-05,2.00E-05,9.07E-05,-5.99E-08,-3.47E-08,-1.42E-07,-1.03E-02,-3.65E-03,5.66E-03
3,4.00E-05,1.20E-04,2.04E-05,1.13E-04,1.28E-08,5.09E-09,3.78E-08,2.45E-02,-1.79E-02,-1.46E-03
4,4.00E-05,5.72E-05,5.22E-05,4.07E-05,5.13E-08,-4.90E-08,3.01E-08,-1.07E-02,-2.37E-02,-9.59E-03
5,4.00E-05,5.76E-05,2.00E-05,6.43E-05,-8.40E-08,1.90E-09,9.09E-08,4.60E-03,1.01E-02,4.30E-03
6,4.00E-05,5.31E-05,2.00E-05,1.19E-04,-1.22E-07,-3.44E-08,1.61E-07,7.79E-03,-3.12E-03,7.79E-03
7,4.00E-05,8.56E-05,2.00E-05,9.29E-05,1.29E-07,-5.36E-08,-1.36E-07,4.83E-02,6.75E-03,4.68E-02
8,4.00E-05,2.00E-05,5.75E-05,6.45E-05,1.63E-08,-5.95E-08,-1.11E-07,1.92E-02,-9.97E-03,-4.81E-03
9,4.00E-05,4.57E-05,2.00E-05,2.00E-05,1.53E-07,3.03E-06,1.16E-08,9.86E-02,9.48E-03,1.81E-03
10,4.00E-05,2.20E-05,4.50E-05,1.22E-04,-1.40E-07,-3.68E-08,-1.76E-07,1.14E-02,-2.85E-03,-6.36E-03
11,4.00E-05,8.79E-05,3.68E-05,1.29E-04,-3.48E-08,-1.12E-07,-2.51E-08,-3.39E-03,7.50E-04,-3.58E-03
12,4.00E-05,1.21E-04,2.77E-05,2.23E-05,7.47E-08,-1.03E-08,3.29E-07,-7.97E-03,1.90E-02,3.64E-03
13,4.00E-05,1.20E-04,2.00E-05,6.16E-05,-4.51E-08,-6.89E-09,2.92E-07,7.53E-03,-2.40E-02,-1.47E-03
14,4.00E-05,4.85E-05,4.83E-05,9.11E-05,-1.47E-07,-2.04E-08,1.27E-07,-8.88E-03,-5.82E-03,-4.28E-05
15,4.00E-05,1.30E-04,4.95E-05,8.67E-05,-1.30E-08,9.48E-08,1.11E-07,-1.72E-02,2.32E-02,-1.68E-03
16,4.00E-05,9.30E-05,5.63E-05,2.00E-05,1.70E-08,-1.13E-07,-4.86E-08,-3.30E-02,4.96E-03,1.01E-02
17,4.00E-05,9.06E-05,4.71E-05,6.21E-05,6.27E-09,7.03E-08,1.55E-07,-1.74E-02,2.00E-02,-2.47E-03
18,4.00E-05,5.71E-05,6.23E-05,1.30E-04,-1.21E-07,-1.56E-07,2.81E-08,3.26E-03,-1.84E-03,3.24E-03
19,4.00E-05,8.51E-05,6.25E-05,9.86E-05,-2.54E-07,1.23E-08,1.54E-07,1.82E-02,-2.34E-02,2.59E-02
