#ID, d, x, y, z, u, v, w, au, av, aw
0,1.00E-04,3.49990E-04,1.50140E-04,2.49860E-04,0,0,0,0,0,0
1,1.00E-04,3.50000E-04,5.00000E-05,3.49920E-04,0,0,0,0,0,0
2,1.00E-04,2.50000E-04,5.00000E-05,3.50000E-04,0,0,0,0,0,0
3,1.00E-04,3.46740E-04,1.55870E-04,1.50020E-04,0,0,0,0,0,0
4,1.00E-04,5.00530E-05,1.10280E-04,5.00420E-05,0,0,0,0,0,0
5,1.00E-04,1.35090E-04,1.23970E-04,1.17640E-04,0,0,0,0,0,0
6,1.00E-04,5.09240E-05,1.29930E-04,1.89920E-04,0,0,0,0,0,0
7,1.00E-04,1.50000E-04,5.00000E-05,3.49990E-04,0,0,0,0,0,0
8,1.00E-04,1.50970E-04,2.17120E-04,2.82870E-04,0,0,0,0,0,0
9,1.00E-04,5.00000E-05,5.00000E-05,3.50000E-04,0,0,0,0,0,0
10,1.00E-04,1.33010E-04,5.00000E-05,1.85600E-04,0,0,0,0,0,0
11,1.00E-04,5.00090E-05,5.00000E-05,2.50000E-04,0,0,0,0,0,0
12,1.00E-04,2.28480E-04,6.66260E-05,5.00030E-05,0,0,0,0,0,0
13,1.00E-04,2.65180E-04,1.23300E-04,2.04170E-04,0,0,0,0,0,0
14,1.00E-04,1.31130E-04,1.05340E-04,2.68870E-04,0,0,0,0,0,0
15,1.00E-04,5.98570E-05,1.89770E-04,1.10170E-04,0,0,0,0,0,0
16,1.00E-04,3.05920E-04,2.27410E-04,2.98370E-04,0,0,0,0,0,0
17,1.00E-04,7.47080E-05,1.46900E-04,3.50000E-04,0,0,0,0,0,0
18,1.00E-04,2.62540E-04,1.37440E-04,3.03130E-04,0,0,0,0,0,0
19,1.00E-04,3.48800E-04,5.00000E-05,2.49910E-04,0,0,0,0,0,0
20,1.00E-04,2.17070E-04,5.00000E-05,2.55560E-04,0,0,0,0,0,0
21,1.00E-04,5.00030E-05,5.00000E-05,1.29830E-04,0,0,0,0,0,0
22,1.00E-04,3.50000E-04,1.47340E-04,5.03680E-05,0,0,0,0,0,0
23,1.00E-04,5.42320E-05,1.95720E-04,2.65160E-04,0,0,0,0,0,0
24,1.00E-04,2.32780E-04,1.45040E-04,1.11920E-04,0,0,0,0,0,0
25,1.00E-04,1.73950E-04,1.64510E-04,2.00500E-04,0,0,0,0,0,0
26,1.00E-04,3.49990E-04,1.50010E-04,3.49980E-04,0,0,0,0,0,0
27,1.00E-04,1.29870E-04,5.00100E-05,5.02900E-05,0,0,0,0,0,0
28,1.00E-04,3.27090E-04,5.00000E-05,5.00030E-05,0,0,0,0,0,0
29,1.00E-04,3.49300E-04,5.35070E-05,1.49320E-04,0,0,0,0,0,0
30,1.00E-04,2.25920E-04,5.00010E-05,1.48620E-04,0,0,0,0,0,0
31,1.00E-04,1.74710E-04,1.46900E-04,3.50000E-04,0,0,0,0,0,0
